           0            1
         0.1      1.09484
         0.2      1.17874
         0.3      1.25086
         0.4      1.31048
         0.5      1.35701
         0.6      1.38998
         0.7      1.40906
         0.8      1.41406
         0.9      1.40494
           1      1.38177
         1.1       1.3448
         1.2       1.2944
         1.3      1.23106
         1.4      1.15542
         1.5      1.06823
         1.6     0.970374
         1.7      0.86282
         1.8     0.746646
         1.9     0.623011
           2     0.493151
         2.1     0.358363
         2.2     0.219995
         2.3    0.0794292
         2.4   -0.0619305
         2.5    -0.202671
         2.6    -0.341387
         2.7    -0.476692
         2.8    -0.607234
         2.9    -0.731709
           3    -0.848872
         3.1    -0.957554
         3.2     -1.05667
         3.3     -1.14523
         3.4     -1.22234
         3.5     -1.28724
         3.6     -1.33928
         3.7     -1.37794
         3.8     -1.40283
         3.9      -1.4137
           4     -1.41045
         4.1      -1.3931
         4.2     -1.36184
         4.3     -1.31697
         4.4     -1.25893
         4.5     -1.18833
         4.6     -1.10584
         4.7     -1.01231
         4.8    -0.908666
         4.9     -0.79594
           5    -0.675262
         5.1    -0.547837
         5.2    -0.414938
         5.3    -0.277893
         5.4    -0.138072
         5.5   0.00312945
         5.6     0.144299
         5.7     0.284027
         5.8     0.420917
         5.9     0.553602
           6     0.680755
         6.1     0.801106
         6.2     0.913453
         6.3      1.01667
         6.4      1.10973
         6.5      1.19171
         6.6      1.26177
         6.7      1.31923
         6.8      1.36351
         6.9      1.39416
           7      1.41089
         7.1      1.41352
         7.2      1.40202
         7.3      1.37651
         7.4      1.33726
         7.5      1.28464
         7.6      1.21918
         7.7      1.14154
         7.8       1.0525
         7.9     0.952939
           8     0.843858
         8.1     0.726346
         8.2     0.601576
         8.3     0.470795
         8.4      0.33531
         8.5     0.196475
         8.6    0.0556771
         8.7   -0.0856774
         8.8    -0.226176
         8.9    -0.364414
           9    -0.499012
         9.1    -0.628623
         9.2    -0.751954
         9.3    -0.867771
         9.4    -0.974918
         9.5     -1.07232
         9.6     -1.15901
         9.7     -1.23413
         9.8     -1.29691
         9.9     -1.34673
          10     -1.38309
